Year,UNIT_MULT,SOURCE_DETAIL,SERIES,ACTIVITY,UNIT_MEASURE,BASE_PER,Value
2000,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.207
2001,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.221
2002,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.211
2003,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.215
2004,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.204
2005,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.193
2006,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.186
2007,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.182
2008,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.182
2009,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.165
2010,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.164
2011,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.143
2012,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.145
2013,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.149
2014,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.143
2015,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.138
2016,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.111
2017,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.112
2018,0,"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2015,0.107
